anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8980148,2017-11-29 21:33:00,PA,4729208,,121 S 18TH ST,METER EXPIRED CC,36,PPA,39.951075,-75.1707,True,19103.0
8980192,2017-12-14 13:31:00,DE,34730,,300 LEVERINGTON AVE,PARKING PROHBITED,41,PPA,40.03258,-75.223638,True,19128.0
8980193,2017-11-22 12:57:00,WA,4729233,,200 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.948438,-75.144415,True,19106.0
8980194,2017-11-22 13:10:00,PA,4729234,,100 MARKET ST,METER EXPIRED CC,36,PPA,39.949922,-75.143292,True,
8980195,2017-11-22 18:48:00,IN,4729235,,1 S 38TH ST,METER EXPIRED CC,36,PPA,39.955472,-75.198162,True,19104.0
8980196,2017-11-22 18:54:00,NJ,4729236,,1 S 38TH ST,METER EXPIRED CC,36,PPA,39.955105,-75.198083,True,19104.0
8980197,2017-11-22 19:23:00,PA,4729237,,1 S 40TH ST,STOP PROHIBITED CC,76,PPA,39.956328,-75.202077,True,19104.0
8980198,2017-11-24 07:05:00,PA,4729237,,3200 N BROAD ST,PARKING PROHBITED,41,POLICE,40.00238838883113,-75.15273863795244,False,19140.0
8980199,2017-10-12 15:48:00,PA,1535641,,1300 RACE ST,METER EXPIRED CC,36,PPA,39.956327,-75.161635,True,19107.0
8980200,2017-12-30 10:05:00,PA,2173998,,1100 FILBERT ST,METER EXPIRED CC,36,PPA,39.95283,-75.15796,True,19107.0
8980201,2017-11-22 14:53:00,NJ,4729238,,1 S 22ND ST,METER EXPIRED CC,36,PPA,39.952955,-75.17688,True,19103.0
8980202,2017-12-13 12:17:00,PA,4729239,,100 S 4TH ST,PARKING PROHBITED CC,51,PPA,39.948688,-75.147592,True,19106.0
8980203,2017-11-22 17:24:00,PA,4729240,,6300 RISING SUN AVE,METER EXPIRED,26,PPA,40.04874,-75.09639,True,19111.0
8980204,2017-11-22 17:25:00,PA,4729241,,6300 RISING SUN AVE,METER EXPIRED,26,PPA,40.049053,-75.096137,True,19111.0
8980205,2017-11-22 17:28:00,PA,4729242,,6400 RISING SUN AVE,METER EXPIRED,26,PPA,40.04979,-75.095038,True,19111.0
8980206,2017-11-03 13:02:00,PA,517894,,800 SOUTH ST,METER EXPIRED CC,36,PPA,39.942477,-75.155962,True,19147.0
8980207,2017-11-24 12:30:00,PA,1463480,,400 SOUTH ST,EXPIRED INSPECTION,41,PPA,39.941703,-75.150368,True,19147.0
8980208,2017-11-25 14:23:00,PA,1463480,,300 N 21ST ST,EXPIRED INSPECTION,41,PPA,39.961265,-75.173448,True,19103.0
